"","sub_id","step","action","held","target","yield","max_level","points","total_points","log_total_points","held_shape","held_texture","held_level","target_shape","target_texture","target_level","yield_shape","yield_texture","yield_level","condition"
"84",63,4,"combine","triangle_dots_3","triangle_stripes_0","triangle_stripes_4",4,0,0,0,"triangle","dots",3,"triangle","stripes",0,"triangle","stripes",4,"easy"
"85",63,5,"combine","triangle_stripes_4","triangle_checkered_0","triangle_checkered_5",5,0,0,0,"triangle","stripes",4,"triangle","checkered",0,"triangle","checkered",5,"easy"
"86",63,6,"combine","triangle_checkered_5","triangle_checkered_0","",5,0,0,0,"triangle","checkered",5,"triangle","checkered",0,"","",0,"easy"
"87",63,7,"combine","triangle_checkered_5","triangle_stripes_0","",5,0,0,0,"triangle","checkered",5,"triangle","stripes",0,"","",0,"easy"
"88",63,8,"consume","triangle_checkered_5","","",5,100000,100000,11.5129254649702,"triangle","checkered",5,"","",0,"","",0,"easy"
"89",63,9,"combine","triangle_checkered_0","triangle_stripes_0","triangle_stripes_1",5,0,100000,11.5129254649702,"triangle","checkered",0,"triangle","stripes",0,"triangle","stripes",1,"easy"
"90",63,10,"consume","triangle_stripes_1","","",5,10,100010,11.5130254599706,"triangle","stripes",1,"","",0,"","",0,"easy"
"91",63,11,"combine","circle_dots_0","circle_stripes_0","circle_stripes_1",5,0,100010,11.5130254599706,"circle","dots",0,"circle","stripes",0,"circle","stripes",1,"easy"
"92",63,12,"combine","circle_stripes_1","circle_checkered_0","circle_checkered_2",5,0,100010,11.5130254599706,"circle","stripes",1,"circle","checkered",0,"circle","checkered",2,"easy"
"93",63,13,"combine","circle_checkered_2","circle_plain_0","circle_plain_3",5,0,100010,11.5130254599706,"circle","checkered",2,"circle","plain",0,"circle","plain",3,"easy"
"94",63,14,"combine","circle_plain_3","circle_dots_0","circle_dots_4",5,0,100010,11.5130254599706,"circle","plain",3,"circle","dots",0,"circle","dots",4,"easy"
"95",63,15,"combine","circle_dots_4","circle_plain_0","circle_plain_5",5,0,100010,11.5130254599706,"circle","dots",4,"circle","plain",0,"circle","plain",5,"easy"
"96",63,16,"consume","circle_plain_5","","",5,100000,200010,12.2061226442802,"circle","plain",5,"","",0,"","",0,"easy"
"97",63,17,"combine","diamond_checkered_0","diamond_stripes_0","diamond_stripes_1",5,0,200010,12.2061226442802,"diamond","checkered",0,"diamond","stripes",0,"diamond","stripes",1,"easy"
"98",63,18,"combine","diamond_stripes_1","diamond_plain_0","diamond_plain_2",5,0,200010,12.2061226442802,"diamond","stripes",1,"diamond","plain",0,"diamond","plain",2,"easy"
"99",63,19,"combine","diamond_plain_2","diamond_dots_0","diamond_dots_3",5,0,200010,12.2061226442802,"diamond","plain",2,"diamond","dots",0,"diamond","dots",3,"easy"
"100",63,20,"combine","diamond_dots_3","diamond_stripes_0","diamond_stripes_4",5,0,200010,12.2061226442802,"diamond","dots",3,"diamond","stripes",0,"diamond","stripes",4,"easy"
"101",63,21,"combine","diamond_stripes_4","diamond_dots_0","diamond_dots_5",5,0,200010,12.2061226442802,"diamond","stripes",4,"diamond","dots",0,"diamond","dots",5,"easy"
"102",63,22,"consume","diamond_dots_5","","",5,100000,300010,12.6115710864161,"diamond","dots",5,"","",0,"","",0,"easy"
"103",63,23,"combine","square_checkered_0","square_dots_0","square_dots_1",5,0,300010,12.6115710864161,"square","checkered",0,"square","dots",0,"square","dots",1,"easy"
"104",63,24,"combine","square_dots_1","square_plain_0","square_plain_2",5,0,300010,12.6115710864161,"square","dots",1,"square","plain",0,"square","plain",2,"easy"
"105",63,25,"combine","square_plain_2","square_stripes_0","square_stripes_3",5,0,300010,12.6115710864161,"square","plain",2,"square","stripes",0,"square","stripes",3,"easy"
"106",63,26,"combine","square_stripes_3","square_dots_0","square_dots_4",5,0,300010,12.6115710864161,"square","stripes",3,"square","dots",0,"square","dots",4,"easy"
"107",63,27,"combine","square_dots_4","square_stripes_0","square_stripes_5",5,0,300010,12.6115710864161,"square","dots",4,"square","stripes",0,"square","stripes",5,"easy"
"108",63,28,"consume","square_stripes_5","","",5,100000,400010,12.8992448257776,"square","stripes",5,"","",0,"","",0,"easy"
"109",63,29,"combine","circle_checkered_0","circle_stripes_0","circle_stripes_1",5,0,400010,12.8992448257776,"circle","checkered",0,"circle","stripes",0,"circle","stripes",1,"easy"
"110",63,30,"consume","circle_stripes_1","","",5,10,400020,12.8992698248402,"circle","stripes",1,"","",0,"","",0,"easy"
"111",63,31,"combine","square_plain_0","square_checkered_0","square_checkered_1",5,0,400020,12.8992698248402,"square","plain",0,"square","checkered",0,"square","checkered",1,"easy"
"112",63,32,"consume","square_checkered_1","","",5,10,400030,12.8992948232778,"square","checkered",1,"","",0,"","",0,"easy"
"113",63,33,"combine","diamond_plain_0","diamond_checkered_0","diamond_checkered_1",5,0,400030,12.8992948232778,"diamond","plain",0,"diamond","checkered",0,"diamond","checkered",1,"easy"
"114",63,34,"consume","diamond_checkered_1","","",5,10,400040,12.8993198210905,"diamond","checkered",1,"","",0,"","",0,"easy"
"115",64,1,"combine","diamond_dots_0","triangle_stripes_0","",0,0,0,0,"diamond","dots",0,"triangle","stripes",0,"","",0,"hard"
"116",64,2,"combine","diamond_dots_0","square_stripes_0","",0,0,0,0,"diamond","dots",0,"square","stripes",0,"","",0,"hard"
"117",64,3,"combine","diamond_dots_0","circle_stripes_0","",0,0,0,0,"diamond","dots",0,"circle","stripes",0,"","",0,"hard"
"118",64,4,"combine","circle_stripes_0","square_stripes_0","circle_stripes_1",1,0,0,0,"circle","stripes",0,"square","stripes",0,"circle","stripes",1,"hard"
"119",64,5,"combine","circle_stripes_1","square_dots_0","circle_dots_2",2,0,0,0,"circle","stripes",1,"square","dots",0,"circle","dots",2,"hard"
"120",64,6,"combine","circle_dots_2","square_stripes_0","",2,0,0,0,"circle","dots",2,"square","stripes",0,"","",0,"hard"
"121",64,7,"combine","circle_dots_2","square_plain_0","",2,0,0,0,"circle","dots",2,"square","plain",0,"","",0,"hard"
"122",64,8,"combine","circle_dots_2","square_checkered_0","circle_checkered_3",3,0,0,0,"circle","dots",2,"square","checkered",0,"circle","checkered",3,"hard"
"123",64,9,"consume","circle_checkered_3","","",3,1000,1000,6.90775527898214,"circle","checkered",3,"","",0,"","",0,"hard"
"124",64,10,"combine","square_stripes_0","circle_stripes_0","square_stripes_1",3,0,1000,6.90775527898214,"square","stripes",0,"circle","stripes",0,"square","stripes",1,"hard"
"125",64,11,"combine","square_stripes_1","circle_dots_0","square_dots_2",3,0,1000,6.90775527898214,"square","stripes",1,"circle","dots",0,"square","dots",2,"hard"
"126",64,12,"combine","square_dots_2","circle_checkered_0","square_checkered_3",3,0,1000,6.90775527898214,"square","dots",2,"circle","checkered",0,"square","checkered",3,"hard"
"127",64,13,"combine","square_checkered_3","circle_dots_0","square_dots_4",4,0,1000,6.90775527898214,"square","checkered",3,"circle","dots",0,"square","dots",4,"hard"
"128",64,14,"combine","square_dots_4","circle_checkered_0","square_checkered_5",5,0,1000,6.90775527898214,"square","dots",4,"circle","checkered",0,"square","checkered",5,"hard"
"129",64,15,"combine","square_checkered_5","circle_plain_0","",5,0,1000,6.90775527898214,"square","checkered",5,"circle","plain",0,"","",0,"hard"
"130",64,16,"combine","square_checkered_5","circle_plain_0","",5,0,1000,6.90775527898214,"square","checkered",5,"circle","plain",0,"","",0,"hard"
"131",64,17,"combine","square_checkered_5","circle_plain_0","",5,0,1000,6.90775527898214,"square","checkered",5,"circle","plain",0,"","",0,"hard"
"132",64,18,"consume","square_checkered_5","","",5,100000,101000,11.5228757958234,"square","checkered",5,"","",0,"","",0,"hard"
"133",64,19,"combine","triangle_stripes_0","diamond_dots_0","triangle_dots_1",5,0,101000,11.5228757958234,"triangle","stripes",0,"diamond","dots",0,"triangle","dots",1,"hard"
"134",64,20,"combine","triangle_dots_1","diamond_checkered_0","triangle_checkered_2",5,0,101000,11.5228757958234,"triangle","dots",1,"diamond","checkered",0,"triangle","checkered",2,"hard"
"135",64,21,"combine","triangle_checkered_2","diamond_dots_0","triangle_dots_3",5,0,101000,11.5228757958234,"triangle","checkered",2,"diamond","dots",0,"triangle","dots",3,"hard"
"136",64,22,"combine","triangle_dots_3","diamond_plain_0","",5,0,101000,11.5228757958234,"triangle","dots",3,"diamond","plain",0,"","",0,"hard"
"137",64,23,"combine","triangle_dots_3","diamond_checkered_0","triangle_checkered_4",5,0,101000,11.5228757958234,"triangle","dots",3,"diamond","checkered",0,"triangle","checkered",4,"hard"
